dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-01,0.3863739354856471,0.5313485106180051,0.13044043574155206,0.262952120446157,0.12877981852276943,0.08032334188322414
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-02,0.36959192065928503,0.5418912832025382,0.07505524004040072,0.17475904925889038,0.281586543037093,0.2682095155428584
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-03,0.4813085202051938,0.5932687224664287,0.15510893019986466,0.28417490424330394,0.44945001963125575,0.5170390101954927
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-04,0.46527843372211936,0.6100643415382212,0.18124544456654293,0.32427260935877783,0.18775171760779338,0.10522770595764498
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-05,0.5182916180017931,0.6271486135554774,0.28749231248490076,0.4089786396419764,0.6155098052420438,0.6748791235090672
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-06,0.49980336524565155,0.6262395722436953,0.23057972170740867,0.3492405545812953,0.4536984070785226,0.3919604899336068
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-07,0.4732144461430178,0.5785831195968903,0.22539994449973969,0.362044743590711,0.5459590795598895,0.5771356544082681
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-08,0.45731876414425565,0.5420372022713592,0.17796168418228375,0.2572854203180089,0.34595798359548097,0.30668435156862167
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-09,0.47227469660006666,0.6807888359803,0.1501357798931107,0.3069724028212293,0.27690020262346987,0.2902318508706052
EEG2,ResNet,features/layer1-0,early_0_200ms,sub-10,0.4123039989442202,0.512116534871468,0.1463319957035782,0.2634861978799203,0.4090226386242404,0.347494517296009
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-01,0.2134764367931415,0.33644899881626633,0.011172453261740578,0.07918353455932842,0.07213644688271986,0.017370736482082684
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-02,0.15802029972500747,0.22878333259409903,-0.19090854431717383,0.010900606068456817,0.10854478976941234,0.04603006921412653
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-03,0.28778045879711056,0.3662190765548201,-0.04142552291541743,0.08015553190296061,0.19717289929505874,0.17989670317280945
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-04,0.17402669654333008,0.2362127277572237,-0.026068272510938385,0.027383973860829653,0.06424151396085577,0.02395494718773508
