dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
NSD,ResNet,features/layer1-0,V1v,subj01,0.5380676048811955,0.7925033199460794,0.31113032967101917,0.6308913084806607,0.5613148419663171,0.5569480842485962
NSD,ResNet,features/layer1-0,V2v,subj01,0.4466729323495954,0.6882337755624948,0.21956320357010464,0.4770387056293988,0.4340239819464926,0.4682111379335218
NSD,ResNet,features/layer1-0,V3v,subj01,0.4031379628142833,0.6460661281108608,0.17559528338871913,0.415029489328186,0.3714203098584064,0.3646945706248948
NSD,ResNet,features/layer1-0,hV4,subj01,0.33970689145627986,0.5928397639133491,0.12220416591934789,0.3487099252156575,0.30210123519361426,0.2943504047654557
NSD,ResNet,features/layer1-0,FFA-1,subj01,0.2408473680464278,0.4455793183513378,0.06101201308779024,0.19717116730920986,0.20126717181507583,0.174510652045368
NSD,ResNet,features/layer1-0,VWFA-1,subj01,0.2116869338018213,0.3776374927877441,0.04737022251089821,0.14287254129894375,0.18209327028806857,0.11692377035153091
NSD,ResNet,features/layer1-0,PPA,subj01,0.29492383005166095,0.5240072946006494,0.08998363391495294,0.26518793783056177,0.24455213803900405,0.24219561625036384
NSD,ResNet,features/layer1-0,OPA,subj01,0.2645795053678523,0.47188976585099346,0.0730291919724137,0.21516928983688427,0.2532825040857514,0.16017475581507806
NSD,ResNet,features/layer1-0,EBA,subj01,0.25487344905341053,0.4032938632665153,0.06373993765333523,0.14902224222278998,0.20133368527523782,0.17948220054580039
NSD,ResNet,features/layer2-0,V1v,subj01,0.5573549932142411,0.8213281970696922,0.3334027371603474,0.6767328079205794,0.5991340420185609,0.5863317016761742
NSD,ResNet,features/layer2-0,V2v,subj01,0.4841239160917465,0.7462378697401885,0.2570754792384341,0.5597876606378503,0.5002094846145354,0.5327547196271715
NSD,ResNet,features/layer2-0,V3v,subj01,0.44649099543049464,0.7156857319224572,0.21504794851724168,0.5096177533342061,0.4421192124808075,0.4389736754916671
NSD,ResNet,features/layer2-0,hV4,subj01,0.3793063309002891,0.6593099721974888,0.1564965945797175,0.43627854921145554,0.3738703661019881,0.34995747637526775
NSD,ResNet,features/layer2-0,FFA-1,subj01,0.2886527506629344,0.5288790469530532,0.08948168850837923,0.27481651807470414,0.2999852897183384,0.2693103983558726
NSD,ResNet,features/layer2-0,VWFA-1,subj01,0.2583593698372434,0.46170098245824615,0.06871450854717674,0.20684249803419727,0.2400388690104039,0.1618514985223454
