dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
TVSD,ResNet,features/layer1-0,V1,monkeyF,0.779748474467129,0.8029590960529254,0.6065864096088639,0.6420713538384815,0.6780111344165466,0.8381731786614718
TVSD,ResNet,features/layer1-0,V4,monkeyF,0.5769673987423752,0.5886163662384615,0.32874286265407116,0.34202094772012154,0.43141096419544295,0.5117531084854348
TVSD,ResNet,features/layer1-0,IT,monkeyF,0.4749778468334533,0.49252387342849013,0.2148706398170007,0.23447846459353427,0.35868458616973686,0.2982371836520922
TVSD,ResNet,features/layer1-0,V1,monkeyN,0.8044811535091778,0.8155867606151088,0.6462312521460146,0.663868665821426,0.6305097252127282,0.8399969421237278
TVSD,ResNet,features/layer1-0,V4,monkeyN,0.5947739644035946,0.6078005369969172,0.34803542201134935,0.362748882543646,0.4813726720097184,0.5608460403152081
TVSD,ResNet,features/layer1-0,IT,monkeyN,0.477608182084168,0.4887000382198641,0.20455669316387176,0.2137217204319449,0.30292888015342034,0.25211711555221133
TVSD,ResNet,features/layer2-0,V1,monkeyF,0.784323881960727,0.8073817246974014,0.6128233239857362,0.6475742138715691,0.7214660751727627,0.8634204350595077
TVSD,ResNet,features/layer2-0,V4,monkeyF,0.6418511372660543,0.6545866368874319,0.40675641537276147,0.42245156142580276,0.5075756418547225,0.6196348946787991
TVSD,ResNet,features/layer2-0,IT,monkeyF,0.5519294589819185,0.5721674730659337,0.28732477266458445,0.311035226040262,0.4582119584841306,0.41485340343261085
TVSD,ResNet,features/layer2-0,V1,monkeyN,0.8286616253131701,0.8400180084734259,0.6857859545846644,0.7042709725786211,0.6553166876422017,0.8876457173130078
TVSD,ResNet,features/layer2-0,V4,monkeyN,0.671125165483358,0.6859003785007891,0.44305129407783583,0.46182822841975013,0.5992760373321326,0.6840405218975917
TVSD,ResNet,features/layer2-0,IT,monkeyN,0.560638510772716,0.5735791288433117,0.29429039962667625,0.3069016314510838,0.3709831356014301,0.3826821505081519
TVSD,ResNet,features/layer3-0,V1,monkeyF,0.7553151851934301,0.7775097186021958,0.5692891284903302,0.6016490663809952,0.6542519439022166,0.820545084453974
TVSD,ResNet,features/layer3-0,V4,monkeyF,0.7373103246262681,0.7517918931719504,0.5321816892997672,0.5523665279439027,0.6292454318577252,0.7585000328438418
TVSD,ResNet,features/layer3-0,IT,monkeyF,0.6752496260238856,0.7001386782956635,0.43620214438978155,0.4683579918582353,0.623695015093618,0.6131953426500386
TVSD,ResNet,features/layer3-0,V1,monkeyN,0.7962469273421564,0.8071185361477403,0.6343005260157796,0.6512834877754533,0.5690483691875549,0.8643649084340348
TVSD,ResNet,features/layer3-0,V4,monkeyN,0.7563698158973483,0.7730876536221081,0.5587634083757209,0.5823922098673769,0.6864361285736361,0.7846827305311704
TVSD,ResNet,features/layer3-0,IT,monkeyN,0.7152437892889584,0.732055009349107,0.4882561411133149,0.5105037371237928,0.5794774029400268,0.6624489257650609
TVSD,ResNet,features/layer3-10,V1,monkeyF,0.7002674684148918,0.720656121944108,0.4898006834257342,0.5171550459444939,0.5534179188676372,0.7199128392756973
TVSD,ResNet,features/layer3-10,V4,monkeyF,0.7369424455191939,0.7511634700315345,0.5364943275124029,0.5562174389750923,0.6101666500270527,0.7644170138516128
TVSD,ResNet,features/layer3-10,IT,monkeyF,0.7193600612427931,0.7458421898292552,0.49176102899955426,0.5275250264559034,0.6807508012414024,0.6864308728534706
TVSD,ResNet,features/layer3-10,V1,monkeyN,0.7490090338077809,0.7591751590205459,0.5610908377768472,0.5759455267355433,0.4784637670853676,0.7929768622284629
TVSD,ResNet,features/layer3-10,V4,monkeyN,0.7509926417874436,0.7675971204949762,0.5559040409865972,0.5796123295420961,0.6647496727875499,0.7500768503759518
TVSD,ResNet,features/layer3-10,IT,monkeyN,0.7508182613297422,0.7685010871360699,0.5414232044652472,0.5660691456507119,0.5796958103470723,0.7446088962744227
TVSD,ResNet,features/layer3-15,V1,monkeyF,0.6843360965316211,0.7042176125594491,0.4675560603207396,0.4935872235631658,0.535611443625329,0.696892511671147
TVSD,ResNet,features/layer3-15,V4,monkeyF,0.7300161211667113,0.7441790455899795,0.5295683446904044,0.5492507890008181,0.6183937034093517,0.7425048060739767
TVSD,ResNet,features/layer3-15,IT,monkeyF,0.7403344737311485,0.7676457865585429,0.5245027302969819,0.562698061728938,0.7138919210327125,0.7343280297019433
TVSD,ResNet,features/layer3-15,V1,monkeyN,0.7393149580218294,0.7493574604814398,0.5470092365584782,0.561623575980192,0.4872692062960598,0.7691502339211116
TVSD,ResNet,features/layer3-15,V4,monkeyN,0.7465922989079301,0.7631187712376782,0.5556796888419505,0.579553523243039,0.6496821331150628,0.747707214275248
TVSD,ResNet,features/layer3-15,IT,monkeyN,0.7729427731937482,0.7911345184818157,0.5813945507910041,0.6080758898670978,0.5674126928601828,0.7947110595155431
TVSD,ResNet,features/layer3-20,V1,monkeyF,0.6662459547303163,0.6854873858028689,0.44390343495090595,0.4682543778513458,0.49579621057996537,0.6693769312357117
TVSD,ResNet,features/layer3-20,V4,monkeyF,0.7217371453122287,0.7356688930052848,0.5156439439835943,0.5345297453388829,0.6163634106600037,0.729143163164917
TVSD,ResNet,features/layer3-20,IT,monkeyF,0.7421021031779514,0.7694429379993738,0.5220828335405795,0.5597772468013207,0.7177710467471712,0.7393984666234606
