model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
ResNet,early_0_200ms,sub-01,cross_subject_pooled,0.28587824064114165,0.607770085746669,-0.31768412471960916,0.10777586451072539
ResNet,early_0_200ms,sub-02,cross_subject_pooled,0.2384648539154703,0.4992831735787818,-0.3079214157980605,0.05154029122231508
ResNet,early_0_200ms,sub-03,cross_subject_pooled,0.2663689585484682,0.4839579680816056,-0.6851279910755738,0.03522143914753643
ResNet,early_0_200ms,sub-04,cross_subject_pooled,0.312056220894884,0.5740515179916461,-0.3191130549924147,0.1529454813223229
ResNet,early_0_200ms,sub-05,cross_subject_pooled,0.22170425367277344,0.36797839541113375,-0.569384101878215,0.04029242117618294
ResNet,early_0_200ms,sub-06,cross_subject_pooled,0.3057967075852042,0.5682547644958335,-0.4956707696570883,0.06376566849351904
ResNet,early_0_200ms,sub-07,cross_subject_pooled,0.2742663110182571,0.44993348464897526,-0.3197191187002838,0.04996482828711607
ResNet,early_0_200ms,sub-08,cross_subject_pooled,0.33115081502066845,0.5348758231731152,-0.40076058583324564,0.06358274736809116
ResNet,early_0_200ms,sub-09,cross_subject_pooled,0.26442109918668816,0.5517701029063578,-0.4593950296562553,0.04471408792884607
ResNet,early_0_200ms,sub-10,cross_subject_pooled,0.2466509714573233,0.460661242239489,-0.517386200784791,0.07209935305295613
ResNet,middle_200_500ms,sub-01,cross_subject_pooled,0.30909746736197635,0.5058802734703413,-0.3283483235445776,0.06176600455428463
ResNet,middle_200_500ms,sub-02,cross_subject_pooled,0.2367523470827726,0.3670453775581108,-0.3173856498686102,0.02191870702440534
ResNet,middle_200_500ms,sub-03,cross_subject_pooled,0.29874336116766315,0.39779012113892875,-0.5932351493249436,0.01463121414797625
ResNet,middle_200_500ms,sub-04,cross_subject_pooled,0.2993205814542307,0.4093617453832483,-0.624535150776964,0.009686792174432267
ResNet,middle_200_500ms,sub-05,cross_subject_pooled,0.2961561000271874,0.41136089263452713,-0.5409433752268362,0.021925469746960524
ResNet,middle_200_500ms,sub-06,cross_subject_pooled,0.2920602736928346,0.3550433053762062,-0.5653595805306768,0.030609523834581858
ResNet,middle_200_500ms,sub-07,cross_subject_pooled,0.24742568393522094,0.332573640296609,-0.29731800569760053,0.029680482406494166
ResNet,middle_200_500ms,sub-08,cross_subject_pooled,0.25618897541412566,0.3260408957546181,-0.46653471622023146,0.015170968490114926
ResNet,middle_200_500ms,sub-09,cross_subject_pooled,0.23863609048497086,0.367228657842914,-0.45459877941650945,0.01833151198718492
ResNet,middle_200_500ms,sub-10,cross_subject_pooled,0.42666297582758494,0.5554126785691921,-0.3886062263628403,0.060095531493103684
ResNet,late_500_800ms,sub-01,cross_subject_pooled,0.12073464418933294,0.3583480877980026,-0.4294147157318014,0.0088552307137434
ResNet,late_500_800ms,sub-02,cross_subject_pooled,0.08353791153750915,0.22307745445680505,-0.33886654833313073,0.009381337847657862
ResNet,late_500_800ms,sub-03,cross_subject_pooled,0.10190039278733534,0.2548596338982195,-0.6571753526007883,0.006864313868270384
ResNet,late_500_800ms,sub-04,cross_subject_pooled,0.100833490764433,0.35401734930344153,-0.9354289672174378,0.0
ResNet,late_500_800ms,sub-05,cross_subject_pooled,0.10205213449810523,0.5012728890037466,-0.7314711375664383,0.02206946927217624
ResNet,late_500_800ms,sub-06,cross_subject_pooled,0.14256330775682616,0.4731086984544288,-0.957066127781714,0.0040243367140781845
ResNet,late_500_800ms,sub-07,cross_subject_pooled,0.09066263872944026,0.3544129079226315,-0.6486113206891352,0.01161269107962803
ResNet,late_500_800ms,sub-08,cross_subject_pooled,0.09203321659296464,0.28727729575379485,-0.6471001668233206,0.007192597197740968
ResNet,late_500_800ms,sub-09,cross_subject_pooled,0.07332513361951615,0.24662659170025497,-0.8127206472699037,0.004108618229882889
ResNet,late_500_800ms,sub-10,cross_subject_pooled,0.2155392312869388,0.5916168350569542,-0.5399978838382365,0.032658911084990194
Transformer,early_0_200ms,sub-01,cross_subject_pooled,0.2784540018948442,0.5851286773821689,-0.319439896742687,0.11380140452013286
Transformer,early_0_200ms,sub-02,cross_subject_pooled,0.23694492053461122,0.47208897858037635,-0.33740929682045917,0.04329802385563263
Transformer,early_0_200ms,sub-03,cross_subject_pooled,0.24998943938553553,0.4955303004920923,-0.6874949759859745,0.03224183306544804
Transformer,early_0_200ms,sub-04,cross_subject_pooled,0.2963839798806615,0.5593276168597227,-0.32260767375538174,0.1611982341083445
Transformer,early_0_200ms,sub-05,cross_subject_pooled,0.19892659229032172,0.3332177381013429,-0.5952079548480472,0.03474633782414293
Transformer,early_0_200ms,sub-06,cross_subject_pooled,0.2715328799802752,0.5127156705668885,-0.5547735306299817,0.04324921992557394
Transformer,early_0_200ms,sub-07,cross_subject_pooled,0.2622398000020045,0.4313494529926709,-0.3291878946513269,0.04614096907424224
Transformer,early_0_200ms,sub-08,cross_subject_pooled,0.3029382664325176,0.5134270897344028,-0.4024720953657055,0.06579325049172548
Transformer,early_0_200ms,sub-09,cross_subject_pooled,0.25462398855079477,0.5771284717679215,-0.47548590630058896,0.04798776762582221
Transformer,early_0_200ms,sub-10,cross_subject_pooled,0.25843428505983407,0.4602363978014739,-0.5199901418550643,0.07498194912738054
Transformer,middle_200_500ms,sub-01,cross_subject_pooled,0.2963586160694723,0.48535806237136825,-0.33634330966623793,0.05081302858728081
Transformer,middle_200_500ms,sub-02,cross_subject_pooled,0.2048290200954595,0.3246883635884243,-0.32951129325274126,0.014987262975239363
Transformer,middle_200_500ms,sub-03,cross_subject_pooled,0.2832998469375795,0.3735853919324411,-0.5983761484446345,0.010122442223774362
Transformer,middle_200_500ms,sub-04,cross_subject_pooled,0.2584544989769475,0.3568585567080659,-0.6318621376004486,0.007913382737070053
