model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
ResNet,early_0_200ms,sub-01,per_subject_baseline,0.4965467567363658,0.6783659084921124,0.21125552677845344,0.3985083786546782
ResNet,early_0_200ms,sub-02,per_subject_baseline,0.4462715201931576,0.6498449244213249,0.09920583168264559,0.2211828190411955
ResNet,early_0_200ms,sub-03,per_subject_baseline,0.5634621279575355,0.6889695232668113,0.21562237644366558,0.38363815940797447
ResNet,early_0_200ms,sub-04,per_subject_baseline,0.5252266668430753,0.6740666936463958,0.21993891985894767,0.3684357564381321
ResNet,early_0_200ms,sub-05,per_subject_baseline,0.5628232058983086,0.6786883488385366,0.32475420693568113,0.4517954696386818
ResNet,early_0_200ms,sub-06,per_subject_baseline,0.5922239576482653,0.7444438840116256,0.3234524418694746,0.4801056831500959
ResNet,early_0_200ms,sub-07,per_subject_baseline,0.5443948564115363,0.6582536352436652,0.3011062652116416,0.4519091597421805
ResNet,early_0_200ms,sub-08,per_subject_baseline,0.5533189549135796,0.6464406338958855,0.2693675655024382,0.375463714318792
ResNet,early_0_200ms,sub-09,per_subject_baseline,0.5296266748806662,0.7553289787664433,0.169461799186947,0.34512681479805596
ResNet,early_0_200ms,sub-10,per_subject_baseline,0.5136025368118565,0.6343473560714938,0.23203797409954285,0.3623851076195218
ResNet,middle_200_500ms,sub-01,per_subject_baseline,0.3669372618039296,0.5796440265489319,0.1139703677319962,0.2896601455815204
ResNet,middle_200_500ms,sub-02,per_subject_baseline,0.2816023601954554,0.4074116049188593,-0.1457639198884035,0.03619700237794802
ResNet,middle_200_500ms,sub-03,per_subject_baseline,0.4128777533403696,0.5344253090104283,0.034858078249444126,0.1911424648148731
ResNet,middle_200_500ms,sub-04,per_subject_baseline,0.3882774568466922,0.5233214211552253,0.09653003974009591,0.18463515166248312
ResNet,middle_200_500ms,sub-05,per_subject_baseline,0.3278326290129073,0.43252910706474673,0.07755765263171308,0.14525466266954576
