model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
ResNet,early_0_200ms,sub-01,pooled_raw,0.2842965628989195,0.6064523727593852,-0.31113055093804026,0.12159326798488523
ResNet,early_0_200ms,sub-02,pooled_raw,0.23758591505473298,0.49842340608108393,-0.3334756721510504,0.041267536213490476
ResNet,early_0_200ms,sub-03,pooled_raw,0.26563310400198126,0.4829516836382648,-0.6874423061280778,0.036392096519764106
ResNet,early_0_200ms,sub-04,pooled_raw,0.3069722578821931,0.5707062940062037,-0.3212750884285939,0.16185499751143537
ResNet,early_0_200ms,sub-05,pooled_raw,0.2224075964725859,0.36774469765701995,-0.5828703839201411,0.03959800636853728
ResNet,early_0_200ms,sub-06,pooled_raw,0.3068076588416229,0.5685673166086339,-0.5175006754809961,0.05773919021939006
ResNet,early_0_200ms,sub-07,pooled_raw,0.282779330148171,0.46134852147555167,-0.3168306692008706,0.05772530431745659
ResNet,early_0_200ms,sub-08,pooled_raw,0.3293481701099503,0.5332113777123942,-0.39650699250276966,0.07243503985812406
ResNet,early_0_200ms,sub-09,pooled_raw,0.25798678469371383,0.5449184472620765,-0.48872945075570157,0.0316780954743115
ResNet,early_0_200ms,sub-10,pooled_raw,0.24678380014139426,0.4668520019545829,-0.5180587717740527,0.07804613846447113
ResNet,middle_200_500ms,sub-01,pooled_raw,0.2871287044591893,0.46972036633905057,-0.3313253054467297,0.06175045657511754
ResNet,middle_200_500ms,sub-02,pooled_raw,0.23036699641252753,0.35625036073546285,-0.34418097311076296,0.01671523322696434
ResNet,middle_200_500ms,sub-03,pooled_raw,0.2971039061086452,0.39401121772265624,-0.5977295036829943,0.014987984946138377
ResNet,middle_200_500ms,sub-04,pooled_raw,0.29270320736854577,0.39874614148543064,-0.6244115429367846,0.010928856918588243
ResNet,middle_200_500ms,sub-05,pooled_raw,0.29530008364183985,0.40829133352273816,-0.5587418152663791,0.019732525722625995
ResNet,middle_200_500ms,sub-06,pooled_raw,0.28368862877860185,0.3436199352415432,-0.587718439138166,0.02723029075844104
ResNet,middle_200_500ms,sub-07,pooled_raw,0.2540018642918722,0.3398327662715822,-0.2976248577230406,0.033059745078518735
ResNet,middle_200_500ms,sub-08,pooled_raw,0.24900759189899788,0.315284291745815,-0.47508751308950015,0.013864948102213072
ResNet,middle_200_500ms,sub-09,pooled_raw,0.23288351848416441,0.35814982720981475,-0.48974624083514645,0.009871324816564445
ResNet,middle_200_500ms,sub-10,pooled_raw,0.4005129822851466,0.518538925400906,-0.39032599543240437,0.060865206764616944
ResNet,late_500_800ms,sub-01,pooled_raw,0.12073463067206522,0.35834806853049556,-0.42941474865094675,0.008855191028371132
ResNet,late_500_800ms,sub-02,pooled_raw,0.08353791336759941,0.2230774612359213,-0.33886673913984205,0.009381312849515336
ResNet,late_500_800ms,sub-03,pooled_raw,0.10190039325639787,0.2548596270962359,-0.6571754473088197,0.006864298566859577
ResNet,late_500_800ms,sub-04,pooled_raw,0.10083349362443372,0.3540173511080864,-0.9354289437427266,0.0
ResNet,late_500_800ms,sub-05,pooled_raw,0.10205213533751895,0.5012729019568409,-0.7314712821631909,0.022070101905601748
ResNet,late_500_800ms,sub-06,pooled_raw,0.14256330744992332,0.47310869964091024,-0.957066090721444,0.004024516930989541
ResNet,late_500_800ms,sub-07,pooled_raw,0.09066262901896213,0.354412858929616,-0.6486114776413696,0.01161290363176057
ResNet,late_500_800ms,sub-08,pooled_raw,0.09203322666063266,0.28727730833437987,-0.6471001145584481,0.007192596776892527
ResNet,late_500_800ms,sub-09,pooled_raw,0.07332513247900933,0.24662659258434808,-0.8127205326227962,0.004108701106767451
ResNet,late_500_800ms,sub-10,pooled_raw,0.2155392230488137,0.5916168135255945,-0.5399980158630977,0.03265899377749296
Transformer,early_0_200ms,sub-01,pooled_raw,0.27845400051325403,0.5851286774193828,-0.3194399666865096,0.11380136543644263
Transformer,early_0_200ms,sub-02,pooled_raw,0.23694491303834775,0.4720889689054756,-0.33740918747484594,0.04329795052585601
Transformer,early_0_200ms,sub-03,pooled_raw,0.24998944149312521,0.4955303012147676,-0.6874950418642771,0.03224186380030639
Transformer,early_0_200ms,sub-04,pooled_raw,0.2963839802491288,0.5593276171772251,-0.32260781961099205,0.16119815668915077
Transformer,early_0_200ms,sub-05,pooled_raw,0.1989265848493022,0.3332177248723621,-0.5952079905966592,0.034746298112420575
Transformer,early_0_200ms,sub-06,pooled_raw,0.2715328816999952,0.5127156709628035,-0.5547732376933977,0.043249246101526966
Transformer,early_0_200ms,sub-07,pooled_raw,0.2622398007677397,0.4313494541781546,-0.3291880040894438,0.04614095782342381
Transformer,early_0_200ms,sub-08,pooled_raw,0.30293826807508967,0.5134270902674869,-0.40247216722077495,0.06579318970164193
Transformer,early_0_200ms,sub-09,pooled_raw,0.25462399068294184,0.5771284738535948,-0.4754858541440544,0.04798776170712144
Transformer,early_0_200ms,sub-10,pooled_raw,0.2584342867885744,0.46023639805743494,-0.5199901536406577,0.07498187979033649
Transformer,middle_200_500ms,sub-01,pooled_raw,0.2882173594975143,0.47122260699951324,-0.33397553288240794,0.05509971241720976
