model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
ResNet,early_0_200ms,sub-01,pooled_zscored,0.2690334014696329,0.5808702964486184,-0.5270249764093926,0.006057545936414889
ResNet,early_0_200ms,sub-02,pooled_zscored,0.252269840046591,0.5293894088615496,-0.5823669657017063,0.009924938629541137
ResNet,early_0_200ms,sub-03,pooled_zscored,0.28531432160387876,0.5109770962907427,-0.6723512589162662,0.005945405769152846
ResNet,early_0_200ms,sub-04,pooled_zscored,0.31284550304323416,0.5762354075522679,-0.6147408735635729,0.007497667911975407
ResNet,early_0_200ms,sub-05,pooled_zscored,0.2480102757091315,0.4063108114583388,-0.6026990589418235,0.006236033711318953
ResNet,early_0_200ms,sub-06,pooled_zscored,0.33524387431892333,0.607242045026827,-0.4605805351680108,0.03457524713388537
ResNet,early_0_200ms,sub-07,pooled_zscored,0.26816807566125866,0.44443427924198187,-0.5032613372319468,0.006062516695671132
ResNet,early_0_200ms,sub-08,pooled_zscored,0.3350607024942242,0.5404323057959897,-0.6505904687033714,0.004446042052906298
ResNet,early_0_200ms,sub-09,pooled_zscored,0.2591825802517399,0.553867818704989,-0.38327395032806905,0.03939744409499934
ResNet,early_0_200ms,sub-10,pooled_zscored,0.2502324395989486,0.47308951080087075,-0.6436975313976937,0.003970623923503887
ResNet,middle_200_500ms,sub-01,pooled_zscored,0.276985005747349,0.44947583964272936,-0.6239042519699691,0.00505447509686688
ResNet,middle_200_500ms,sub-02,pooled_zscored,0.23582613486505552,0.3635259795584841,-0.8249561887566423,0.0014675280098540929
ResNet,middle_200_500ms,sub-03,pooled_zscored,0.3126085181001929,0.41462678540603193,-0.621307241235014,0.002754807700397332
ResNet,middle_200_500ms,sub-04,pooled_zscored,0.30305921909312966,0.4154291146293819,-0.8497389661525699,0.0005392439220665056
ResNet,middle_200_500ms,sub-05,pooled_zscored,0.3172122267583627,0.43945638744388343,-0.7149092160419139,0.005280661014784553
ResNet,middle_200_500ms,sub-06,pooled_zscored,0.31994823888508384,0.3894695143330997,-0.48058941403378497,0.0070433315186094044
ResNet,middle_200_500ms,sub-07,pooled_zscored,0.2518989520097159,0.3395365422515869,-0.5278480300205112,0.0032787510963399333
ResNet,middle_200_500ms,sub-08,pooled_zscored,0.2600606577512731,0.3306358591014578,-0.7675459189001566,0.0015364909280173725
ResNet,middle_200_500ms,sub-09,pooled_zscored,0.2606562541239392,0.4035482361927533,-0.6064717112200912,0.00524875942939608
ResNet,middle_200_500ms,sub-10,pooled_zscored,0.41631107929928884,0.5406916789097385,-0.6106462710543917,0.004435930174540791
ResNet,late_500_800ms,sub-01,pooled_zscored,0.12854957781603799,0.3688887025826025,-0.815380807034006,0.0007820050541933023
ResNet,late_500_800ms,sub-02,pooled_zscored,0.09121720039418296,0.23936377451834326,-0.9918596772219094,0.0
ResNet,late_500_800ms,sub-03,pooled_zscored,0.11088267466294378,0.28514774944876653,-0.9610081499176846,6.346018551512448e-05
ResNet,late_500_800ms,sub-04,pooled_zscored,0.09970613214873955,0.3539953879149789,-0.9704182838513429,0.0
ResNet,late_500_800ms,sub-05,pooled_zscored,0.11220656109607335,0.5474058565525997,-0.9732049923538293,0.0
ResNet,late_500_800ms,sub-06,pooled_zscored,0.1672387822463954,0.5342064515645071,-0.8108128274949344,0.0035641487343961754
ResNet,late_500_800ms,sub-07,pooled_zscored,0.10100106979640851,0.3804875304580571,-0.8494429923670748,0.00021945963630326507
ResNet,late_500_800ms,sub-08,pooled_zscored,0.10578943120266816,0.30312373448123603,-0.9723174998225482,0.00024141486148996887
ResNet,late_500_800ms,sub-09,pooled_zscored,0.09362444486838684,0.2823426075338719,-0.9726174257434774,0.0
ResNet,late_500_800ms,sub-10,pooled_zscored,0.24085620331546564,0.6532880162961535,-0.9698186504076505,0.00013617194152658587
Transformer,early_0_200ms,sub-01,pooled_zscored,0.26433157412111835,0.5572892587403369,-0.5281135707143298,0.005496401032140904
Transformer,early_0_200ms,sub-02,pooled_zscored,0.25432405911437017,0.5008872412734667,-0.5826885718890392,0.009194647556500252
Transformer,early_0_200ms,sub-03,pooled_zscored,0.27025964680671904,0.5218484169504672,-0.673278108651857,0.004965595531549483
Transformer,early_0_200ms,sub-04,pooled_zscored,0.3005634279659836,0.5651541162285032,-0.6150353746452265,0.0075879224405719465
Transformer,early_0_200ms,sub-05,pooled_zscored,0.22616738930699892,0.3726681241512294,-0.605561427840125,0.004498995885473439
Transformer,early_0_200ms,sub-06,pooled_zscored,0.29370852467555003,0.5452578892690396,-0.46820951639648906,0.027919746653552704
Transformer,early_0_200ms,sub-07,pooled_zscored,0.24955280495757237,0.4107057315484449,-0.5056051642346696,0.004482762372227205
Transformer,early_0_200ms,sub-08,pooled_zscored,0.30223011354396534,0.5193105270260879,-0.6518556141217815,0.004222810551361991
Transformer,early_0_200ms,sub-09,pooled_zscored,0.25990670732560117,0.5870157934558881,-0.38231825332906283,0.04425045646801405
Transformer,early_0_200ms,sub-10,pooled_zscored,0.2608730538938355,0.46690563941173513,-0.64407895525364,0.003929177365804114
Transformer,middle_200_500ms,sub-01,pooled_zscored,0.2857887169075311,0.4657076558558726,-0.6248618587267702,0.004522737163395778
Transformer,middle_200_500ms,sub-02,pooled_zscored,0.22393436135701023,0.35517615036048794,-0.826404245562593,0.0014460706472972833
Transformer,middle_200_500ms,sub-03,pooled_zscored,0.2951663623596058,0.3893003834850869,-0.6234141179479271,0.00201555803608629
Transformer,middle_200_500ms,sub-04,pooled_zscored,0.2774191159500211,0.3812781864108995,-0.8504819488581891,0.0003808428301858787
Transformer,middle_200_500ms,sub-05,pooled_zscored,0.24724955843452706,0.34515572832620683,-0.7200189265325622,0.0030609991377502288
Transformer,middle_200_500ms,sub-06,pooled_zscored,0.28435417404692426,0.3491407317887599,-0.4865970338441375,0.005080733397519549
Transformer,middle_200_500ms,sub-07,pooled_zscored,0.2104397775508082,0.2925509628599218,-0.5318940272378949,0.0020814765138086402
Transformer,middle_200_500ms,sub-08,pooled_zscored,0.2573196704635919,0.32864849776163624,-0.768119520399528,0.0015290946176876265
Transformer,middle_200_500ms,sub-09,pooled_zscored,0.20651038901785893,0.3146998758765385,-0.611517658769662,0.003463035858588809
Transformer,middle_200_500ms,sub-10,pooled_zscored,0.3773646509131796,0.49101370955507134,-0.6134536846434999,0.0036320184160510303
Transformer,late_500_800ms,sub-01,pooled_zscored,0.09531138512482967,0.2781077369969098,-0.8155950732838604,0.0006330776253473514
Transformer,late_500_800ms,sub-02,pooled_zscored,0.0611908986838719,0.17202661436894973,-0.9918958069736522,0.0
Transformer,late_500_800ms,sub-03,pooled_zscored,0.10657885192301206,0.26849014465644966,-0.9611028712124514,5.6529096604797804e-05
Transformer,late_500_800ms,sub-04,pooled_zscored,0.0707543974422237,0.31231035371354393,-0.970423735496625,0.0
Transformer,late_500_800ms,sub-05,pooled_zscored,0.12585520705459557,0.5508342001672403,-0.9732913774853799,0.0
Transformer,late_500_800ms,sub-06,pooled_zscored,0.13275257158569304,0.44722996073302074,-0.8122628536246784,0.0027351221175111818
Transformer,late_500_800ms,sub-07,pooled_zscored,0.08369623486063782,0.3546964841284932,-0.8496913929617168,0.0001901924128320996
