model,target,layer_group,subject,method,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
ResNet,V1,"['layer1-0', 'layer2-0', 'layer3-0']",monkeyF,layergroup_concat,0.7732812479034645,0.7961472198065775,0.5952220665436095,0.6294102855966511,0.6664552570368805,0.8492983704777678
ResNet,V1,"['layer1-0', 'layer2-0', 'layer3-0']",monkeyN,layergroup_concat,0.8056980399553578,0.8167502258844057,0.6471740289607875,0.6646302460299399,0.5941008435445088,0.8717004973268756
ResNet,V4,"['layer3-0', 'layer3-5', 'layer3-10']",monkeyF,layergroup_concat,0.7333658725196893,0.7477129864655216,0.5276237951584755,0.5474858813881096,0.6206424910274488,0.7442960236647344
ResNet,V4,"['layer3-0', 'layer3-5', 'layer3-10']",monkeyN,layergroup_concat,0.7587139719899954,0.775622531747969,0.5646916925622925,0.5890695843069194,0.6663090350189351,0.7765056024354074
ResNet,IT,"['layer3-20', 'layer3-25', 'layer3-30']",monkeyF,layergroup_concat,0.7404259040021139,0.7678843459694783,0.5215384117329775,0.5597551907185413,0.6956333864211773,0.7381903811072956
ResNet,IT,"['layer3-20', 'layer3-25', 'layer3-30']",monkeyN,layergroup_concat,0.7615044973523025,0.7794896280882203,0.5610891998136843,0.58668444799345,0.5391755953075841,0.7828715130897795
Transformer,V1,"['visual-blocks-2', 'language_model-layers-3']",monkeyF,layergroup_concat,0.7164016734383497,0.737263091304753,0.5126441334552856,0.5416883535613904,0.6040143382431268,0.7801736773754954
Transformer,V1,"['visual-blocks-2', 'language_model-layers-3']",monkeyN,layergroup_concat,0.7551202939373426,0.7654219631724403,0.5726190382198739,0.5879090806361252,0.48531048393360715,0.8419801026089718
Transformer,V4,"['language_model-layers-3', 'visual-blocks-6', 'language_model-layers-8']",monkeyF,layergroup_concat,0.6863063793810222,0.6997183327744434,0.466188883425844,0.48360945323337606,0.542393165940364,0.7216593209928308
Transformer,V4,"['language_model-layers-3', 'visual-blocks-6', 'language_model-layers-8']",monkeyN,layergroup_concat,0.72001552866869,0.7359591454173485,0.503780263486711,0.5251487571590532,0.6347450183334236,0.7400917860777448
Transformer,IT,"['language_model-layers-3', 'visual-blocks-6', 'language_model-layers-8']",monkeyF,layergroup_concat,0.704505145947154,0.7304194844284683,0.465558415689979,0.4999048784981248,0.6742869250465703,0.6977756260561631
Transformer,IT,"['language_model-layers-3', 'visual-blocks-6', 'language_model-layers-8']",monkeyN,layergroup_concat,0.7384827828137789,0.7557269366717368,0.5184857995950286,0.541563771156155,0.4857900365529444,0.744980585192294
